artist_name,track_name,release_date,genre,lyrics
siouxxie sixxsta,masquerade,2021,hyperpop,"Y-Y-You're now listening to Camp Vamps Radio, b-b-bitch  Sippin' blood like I'm a vampire Taste like codeine, drippin' on me Masquerade, now where's the coke line? Playing bloodlines, where's that clap back? Feel like Dracula, way I scare you Cry for help but I can't hear you Now you part of my blood omen Getting high off serotonin Masquerade, masquerade, masquerade, masquerade Masquerade, masquerade, masquerade Catch your skin right on my fang Masquerade, masquerade, masquerade Soon you'll know what is my name Masquerade, masquerade, masquerade Mortal souls is what I crave  Seek them out now, one by one Droppin' bodies like a nun Two twin Glocks, name Bonnie and Clyde Slide through roofs like I'm Tom Cruise I think I'm fine, please just leave Walk around like I can't see I'm fly like a bat, can track your tracks They see my face, get a heart attack  Sippin' blood like I'm a vampire Taste like codeine, drippin' on me Masquerade, now where's the coke line? Playing bloodlines, where's that clap back? Feel like Dracula, way I scare you Cry for help but I can't hear you Now you part of my blood omen Getting high off serotonin Sippin' blood like I'm a vampire Taste like codeine, drippin' on me Masquerade, now where's the coke line? Playing bloodlines, where's that clap back? Feel like Dracula way I scare you Cry for help but I can't hear you Now you part of my blood omen Getting high off serotonin  Sioux, get it together I'm losing my mental They talking about you They planning to use you I feel it deep within It's just beneath the skin I must confess that I feel like a monster I feel it deep within It's just beneath the skin I must confess that I feel like a monster  Sippin' blood like I'm a vampire Taste like codeine, drippin' on me Masquerade, now where's the coke line? Playing bloodlines, where's that clap back? Feel like Dracula, way I scare you Cry for help but I can't hear you Now you part of my blood omen Getting high off serotonin Sippin' blood like I'm a vampire Taste like codeine, drippin' on me Masquerade, now where's the coke line? Playing bloodlines, where's that clap back? Feel like Dracula, way I scare you Cry for help but I can't hear you Now you part of my blood omen Getting high off serotonin"
MUPP,vendetta!,2022,hyperpop,"MUPP broken your heart  Damn, like, shorty, what it do? Got a bad bitch on me, Ima leave with you If I walk up in the party, motherfuckers better move If a motherfucker try me, Ima put him on the news Goddamn, I don't want no fuckin bitch Cause I came in the club with a motherfuckin stick (Ayy, ayy) Watch out, motherfucker, 'cause I'm lookin' for a lick Got diamonds on my wrist, brass knuckles on my fist I'm stompin motherfuckers, in the face, in the pit Might hit him in the head, I got a hunnid in the clip Wait, lil bitch dont want that Ima put a blade through his chest, like a thumb tack Like, damn, this choppa gon have him runnin Been fucking on his bitch, Ima fuck her until I'm cummin (Ayy) Got a bad lil bitch at the crib and she up to somethin Ima walk up in this bitch, I don't car if they tell me, ""Com in""  'Cause I came in that bitch and I'm lookin' for a body (Ayy, ayy, wait) Wait, I feel like murder is a motherfuckin' hobby And I'm coming off the top, feelin' like I'm Jeff Hardy Now it's blood on the dance floor, walk up in this party Blood, blood on my shirt from the vendetta (Wait) Stomp him in the face with my boot and I tell him, ""Get up"" Bitch, heads up, I'm gettin' fed up Pull up with the gun and mark yo' head up, bitch   !    ? ,  , !     ,  (, )         (, , , , , , )   , ,    (, , , , , )  Damn, like, shorty, what it do? Got a bad bitch on me, Ima leave with you If I walk up in the party, motherfuckers better move If a motherfucker try me, Ima put him on the news Goddamn, I don't want no fuckin bitch Cause I came in the club with a motherfuckin stick Got diamonds on my wrist, brass knuckles on my fist I'm stompin motherfuckers, in the face, in the pit Might hit him in the head, I got a hunnid in the clip Wait, lil bitch dont want that Ima put a blade through his chest, like a thumb tack Like, damn, this choppa gon have him runnin Been fucking on his bitch, Ima fuck her until I'm cummin (Ayy) Got a bad lil bitch at the crib and she up to somethin Ima walk up in this bitch, I don't care if they tell me, ""Come in"""
2hollis,jeans,2023,hyperpop,"Only, only Only trust two godspeeds Love me, love me You make it far too easy I see, see, see Top of tree, it's three Put your body on my jeans (Put your body on my jeans)  Double C's, double cheats Double trust within me Double kiss in a dream, mmm Double tricks up my sleeve, yeah Double checks in my jeans, yeah Double texts when I leave You ask me where I'm going Going, where I'm going (I'll take you with me, baby) Goin', in', in', in', I hope you notice  Only, only Only trust two godspeeds Love me, love me You make it far too easy I see, see, see Top of tree, it's three Put your body on my jeans  (Put your body on my jeans) Put your body on my jeans Put your body on my jeans Put your body on my jeans I let it come to me Put your money where your mouth be (Ayy, ayy, ayy, ayy) (Ayy, ayy, ayy, ayy) Keep on trying me Poke it, get the horns You laughing at me What the fuck you want? Keep on trying me You gonna get fucked up Keep on trying me, keep on trying me (Ayy, ayy)  (Ah, ah, ah, ah, ah, ah, ah) (Ah, ah, ah, ah, ah) (Ah, ah, ah, ah, ah, ah, ah) (Ah, ah, ah, ah, ah, ah, ah) Jeans Put your body on my, jeans Jeans Jeans  Only, only Only trust two godspeeds Love me, love me You make it far too easy (Put your body on my jeans) I see, see, see Top of tree, it's three Put your body on my jeans (Put your body on my jeans)"
Isabel LaRosa,HEARTBEAT,2022,hyperpop,"I can feel your heartbeat, heartbeat, heartbeat You hate it that you love me, love me, love me  We don't talk about it but we know that you're mine It's okay you're nervous, heart racing, you can't hide  We're too close, I should go Don't let me drive home Take my soul, need control Now that we're alone  I can feel your heartbeat, heartbeat, heartbeat You hate it that you love me, love m, love me  Obsessiv, you look closely, but I like that Possessive, you're not mine, but you imply that  We're too close, I should go Don't let me drive home Take my soul, need control Now that we're alone  I can feel your heartbeat, heartbeat, heartbeat You hate it that you love me, love me, love me I can feel your heartbeat, heartbeat, heartbeat You hate it that you love me, love me, love me"
Sadfriendd,Pumpfake,2024,hyperpop,"It's lonely at the top, so I jumped off the building And left a blood spot on the pavement Landed on my head, left my whole skull caved in And this shit is never fake, I don't pump when I say shit Pussy motherfuckers always talkin' 'bout they'll try me But they don't, and they can't, and they won't, so they don't Pretty motherfuckers with that butterfly blade to your neck Do or die, you get crucified I could never work a 9 to 5 bitch, your a wage cuck So turn the place up, bitch, turn my bass up Always fuckin' hatin' while you workin', you workin' on being worthless I'm working on fucking verses, and I fell in love with the hearses So I'm creepin' through your do, makin' plays off the phone Mr. 804 coming straight with the snow Mr. S.A.D fresher than a bar of soap And I'm borrowing yo' bitch, I'ma park it in her throat  I was born in the north, but I'm posted in the south Keep a motherfuckin' Glock, put it in yo' bitches mouth If you don't know me, then you don't know what I'm 'bout Masked up midnight, bitch, I'm running through yo' house I was born in the north, but I'm posted in the south Keep a motherfuckin' Glock, put it in yo' bitches mouth If you don't know me, then you don't know what I'm 'bout Masked up midnight, bitch, I'm running through yo' house"
Goldie Boutilier,Cowboy Gangster Politician,2022,hyperpop,"Daddy, I'm in trouble, I think I fell in love With a cowboy, a gangster, a politician Daddy always warned me, ""Don't just give it up"" 'Cause they take and take and take until there's none  My heart's hanging on a thread My body's weak and my mind is dead Ooh, oh, oh We say goodbye, but it never ends  'Cause you can't get away from a woman who loves you 'Cause you can't run away from feelings that haunt you, oh No, you can't separate a fire from a flame that already burns 'Cause you can't get away from a woman who loves you  Every saint's a sinner, we all have our past Forever is a fiction, nothing lasts Now I'm buying time and filling up my glass Overheard a man say, ""This too shall pass""  My heart's hanging on a thread My body's weak and my mind is dead Ooh, oh, oh We say goodbye, but it never ends  'Cause you can't get away from a woman who loves you 'Cause you can't run away from feelings that haunt you, oh No, you can't separate a fire from a flame that already burns No, you can't get away from a woman who loves you  Woman, I'm the woman that you love Woman, I'm the woman that you need Woman, I'm the woman that you love Woman  No, you can't get away from a woman who loves you No, you can't run away from feelings that got you No, you can't separate a fire from a flame that already burns No, you can't get away from a woman who loves you, oh"
Isabel LaRosa,Pretty Boy,2024,hyperpop,"You're my first God, it hurts Boy, I'm holding on for life Angry words (Angry words) Feel their worst (Feel their worst) When we try it one more time  I want your name forever Behind mine  Baby, be my pretty boy (Pretty boy, pretty boy) Can you be my pretty toy? (Pretty toy, pretty toy) Hand on my mouth, cut out the noise I belong to you Baby, be my pretty boy (Pretty boy, pretty boy) I'm so obsessed, it's not a choice (Not a choice, not a choice) I'm melting when I hear your voice I belong to you  Tired eyes, terrified (Terrified) We've got everything to lose Watch me cry, drowning eyes Are you running from the truth?  I want your name forever Behind mine  Baby, be my pretty boy (Pretty boy, pretty boy) Can you be my pretty toy? (Pretty toy, pretty toy) Hand on my mouth, cut out the noise I belong to you Baby, be my pretty boy (Pretty boy, pretty boy) I'm so obsessed, it's not a choice (Not a choice, not a choice) I'm melting when I hear your voice I belong to you  My pretty boy My pretty boy"
Ezekiel,help_urself,2021,hyperpop,"I hate you though  I hate you though We gon' make this work through Gone broke again off the dro' Headaches when I'm comin' home When the sun's out I'm gone Mistakes on someone Gettin' tired of bein' had They're gettin' tired of me bein' sad Bottom of the lake in a bag I feel it's time now, any day Been a while since I felt this way Under skin and the flesh decay 'Bout time someone took my place In this time I met myself It's a broke life in a cell Stay in, don't help yourself"
2hollis,gold,2024,hyperpop,"(2) Uh, ain't no point in waiting Ain't no point in waiting (Yeah, I'm gone; 2) Ain't no point in waiting (Yeah, I'm gone) Ain't no point in waiting, I'm gone (Yeah, I'm gone)  Uh, gone Yeah, I'm gone, gone (Woah, ha, go) Yeah, I'm gone, ayy, gone (Yeah, I'm gone, yeah, I'm gone) Yeah, I'm gone, gone (Woah, woah, woah, woah) Yeah, I'm gone (Yeah, I'm) I can't stay and wait for you, uh (Go, gone) I can't stay and wait for you (Gone, yeah, I'm) I can't stay and wait for you (Gone, yeah, I'm gone) Yeah, I'm g  Pick you up, dollar store Front seat, laughing with your gold teeth (Uh-huh) What you want? (What?) Make it yours Backseat, I ate it in my gold teeth Backseat, I wanna see you trust me Backseat, you turn me into something Backseat in the whip, I learn to love it Backseat in the whip, I feel disgusted (I feel, I feel, I feel disgusted)  There ain't no point in running Guests outside, gotta make sure that they come in Make sure that they come in (Don't look at me like that) Ain't no point in waiting, ain't no point in waiting Ain't no point in waiting, ain't no point in waiting No, ain't no point in waiting, no, ain't no point in waiting No, ain't no point in waiting, no, ain't no point in waiting, I'm gone  (Yeah, I'm gone) (Yeah, I'm gone) (Yeah, I'm gone) Yeah, I'm gone Yeah, I'm gone I'm g I'm g I'm gone Yeah, I'm gone, gone Yeah, I'm gone  (2)"
Isabel LaRosa,HAUNTED,2022,hyperpop,"I'm haunted, haunted, haunted I'm haunted, haunted, haunted  I took up too much space when I was next to you But now it's just me all alone in this damn room Can't sleep imagining the things I'd say to you (Won't say to you)  I need help, lost myself, don't know who's in the mirror Is this hell? Hear you yell, but there's nobody here Feel unwell, can you tell? That I need you, my dear Now you're here (Now you're here)  I'm haunted, haunted, haunted I'm haunted, haunted, haunted  My heart's racing, I swear you're standing next to me My thoughts are overcrowded, my room's empty The more I search, the more that I lose clarity (Clarity, clarity, clarity)  I need help, lost myself, don't know who's in the mirror Is this hell? Hear you yell, but there's nobody here Feel unwell, can you tell? That I need you, my dear Now you're here (Now you're here)  I'm haunted, haunted, haunted I'm haunted, haunted, haunted I'm haunted, haunted, haunted I'm haunted, haunted, haunted"
Laura Les,Haunted,2021,hyperpop,"Am I goin' insane? Runnin', runnin' through the back alley Blood all over and you know I've had enough Am I goin' insane? Runnin', runnin' through the back alley Blood all over and you know I've had enough Am I goin' insane? Runnin', runnin' through the back alley Blood all over and you know I've had enough Am I goin' insane? Runnin', runnin' through the back alley Blood all over and you know I've had  Yeah, do you think it's cute that I'm so fuckin' stupid? Tell me that it is, 'cause I'm tired of bein' useless (Yeah) I've been up for three days, everything is haunted Everybody's evil and there's bugs inside the carpet Do you think I'm frightenin'? Organ chords and lightnin' If I show my fangs, will you tell me that they're cool? Mirrors shatter when I'm passin', broken glass and crashin' Little blurry stars scattered all across my room  A-a-a-am I goin' insane? Runnin', runnin' through the back alley Blood all over and you know I've had enough Am I goin' insane? Runnin', runnin' through the back alley Blood all over and you know I've had enough Am I goin' insane? Runnin', runnin' through the back alley Blood all over and you know I've had enough Am I goin' insane? Runnin', runnin' through the back alley Blood all over and you know I've had enough"
Whethan,High (& Dua Lipa),2018,hyperpop," No tienes que ser tan cauteloso si practicas lo que predicas Contando las pilas en el mostrador, una maldita enfermedad No me pidas que sea justa si practicas lo que enseas Contando todas tus bendiciones en el momento en que te arrodillas  Entonces por qu, por qu No nos elevamos un poco?  No nos ponemos un poco, nos ponemos un poco? No nos elevamos un poco? Elevarnos un poco  Manteniendo mi cabeza bajo el agua, el orgullo enterrado en mi pcho Sin contar todos los minutos, los segundos, sin contener la rspiracin Ahora hundindome desde la superficie, nadando en mis pulmones Perdiendo toda mi visin, religin, me estoy mordiendo la lengua  Entonces por qu, por qu No nos elevamos un poco?  No nos ponemos un poco, nos ponemos un poco? No nos elevamos un poco? Elevarnos un poco  No quiero prestar atencin a la escritura en la pared Pintado con agresin y goteando cuando llamas No voy a aprender la leccin, me estoy quedando sin tiempo? Entonces, por qu, por qu, por qu?  No nos ponemos un poco, nos ponemos un poco? No nos elevamos un poco? Elevarnos un poco"
2hollis,crush,2024,hyperpop,"Everything I do, every single move Every single time I've ever thought of you You make one turn into two, war into a truce I'm so embarrassed, but I gotta tell the truth  I got a crush on you, do you crush on me too? Thinkin' of you everywhere, your house, my house, the car or in my room I got a crush on you, do you crush on me too? Every single thing I make, say, think or do towards you  You (You), you, you, you (You) You, you, you (You), you, you, you (You), you I got a crush on you (You, you, you, you, you, you) Do you crush on me too? (You, you, you, you, you, you, you, you, you)  I thought I was in it (Crush on you) I thought I was in it, but I changed my mind (Crush on you, do you crush on me too?) I changed my mind, I changed my mind (Crush on you, do you crush on me too?) Crush on you Try to dig my grave (Ooh), it gets hard It, it, it gets hard, it gets so fucking hard Wake up, repeat, ah, uh, uh, wake and repeat, ah E-Every day the same, all white red, red  I got a crush on you, do you crush on me too? Thinkin' of you everywhere, your house, my house, the car or in my room I got a crush on you, do you crush on me too? Every single thing I make, say, think or do towards you I got a crush on you, do you crush on me too? (You, you, you, you) Thinkin' of you everywhere, your house, my house, the car or in my room (You, you, you, you) I got a crush on you, do you crush on me too? (You, you, you, you) Every single thing I make, say, think or do towards you (You, you, you, you)  You, you, you, you (You, you, y-you) I got a crush, crush, crush, crush, crush (Do you crush on me too?) I got a cru (Ah), you, you, you I got a crush on you, do you crush on me too? (You, you) Every single thing I make, say, think, or do towards you (You, you, you)  Everything I do, every single move Every single time I've ever thought of you You make one turn into two, war into a truce I'm so embarrassed, but I gotta tell the truth I got a cr Crush on Crush on You, you"
Whethan,"LOCK IT UP (feat. Yeat, midwxst & Matt Ox)",2022,hyperpop,"That boy is a coward like Courage Got a good life, when I grow up, I flourish Your bitch wanna take a pic like she a tourist Yeah, I'm a Gemini, bitch, fuck a Taurus They talkin' 'bout me like I am a thesaurus Got some boys in the hood, I ain't talkin' 'bout Morris We gon' take everything in your house, get a mortgage I need some glory, I feel like I'm Morgan, no Freeman I drop a new song, all my fans know they geekin' Might go to L.A. and crash for the weekend midwxst the name, bitch, no one can defeat him Get in the whip, bitch, you playin' my music You got a gun, but we know you won't use it I got some power, but I won't abuse it I'm one of a kind, no, you can't reproduce me The mic is my hammer and, bitch, I am Thor Ain't none of y'all ready for shit that's in store I kill the beat, put it under me, no score Feel like I'm Bruno Mars, open that door I'm switchin' the flow up, switchin' that cadence Finna get reckless, tired of behavin' I'm way too ahead, I got daylight savings I have evolved while, bitch, you a caveman You not gon' slide, bitch, I know that you flakin', fakin' I use the mic like a sword and I'm Jason Forgin' my words in this bitch like a mason Bitch, I am born again, not talking Jason I don't play fair, get a foul and it's flagrant Remember recording down inside my basement Now I'm in L.A., might take a vacation, yeah Run the track like a motherfucking relay Give a fuck about what he or she say We be tweakin' together, no BK I've been bangin' my chest like I'm D.K., spin tracks like a DJ Lame-ass nigga wanna talk shit, okay If we got beef, boy, you better drop it, okay Love to talk about me, like to gossip, okay Had to cut 'em off, too toxic, okay In my town, bitch, I'm a trending topic, okay Throwin' hands like I'm in a moshpit, okay On go, don't think that I'm stoppin', ol Like I'm Doofenshmirtz, you know I'm plotting, yeah  I just made a quick ten bands, yeah Bitch, I just pulled up in a Lamb' I just pulled up in that big boy Tonka, I don't got no Masi (No Masi, Masi, yeah) I give a fuck what you heard (Heard) You say that you poppin', but I ain't even heard of 'em (Woo, woo, woo, woo) Any beat that you pass me, I murder 'em We finessin' this bitch and his man (Yeah) My bitch pull up, unbuckle my pants I tip up off the drank, I can't stand (Luh Tris) I got mills, top a bitch by the Lamb' (Oh, really?) I'm on Percs in the air, so I can't land (Oh, really?) For a bitch that just told me I would change (Yeah) I took the cup, got luh Wocky (Yeah) I'm right outside of the Benz (Yeah) I'm finna fuck all her friends Diamond my vision, Cartier my lens (Diamonds) Yeah, I only give a fuck 'bout this Benz (Benz) I only give a fuck 'bout this Bentley  Plottin' and watchin' (Watchin') This pocket rocket, I'ma pop it (Pop, pop it) I'm stackin' guap up in my pocket (Po-pocket) You know what I'm rockin', this drip, it's exotic (Exo-exotic) I'm switchin' the topic (Topic), you know I'ma cop it Coppin' this, coppin' that, rockin' this, rockin' that Stockin' this, stockin' that cash (Yeah) Stockin' this, stockin' them bands Stockin' this, stockin' this, stock in advance Hop in this, hop in this, hop in this Lamb' (Yeah) Copped and restocked and then got it again (Yeah) Get it again (Yeah), to get it again and spend it again I'm with the clan, they can't understand These aren't even my friends, we all in a fam This isn't the squad, it's full on the mob We gettin' the guap, then we gotta chop Chop it up, chop it up, chop Chop it up, chop it up, chop it up, chop it up (Chop, chop, chop, chop) Lock it up, lock it up (Lock) Lock it up, lock it up, lock it up, lock it up (Bah, bah, bah, bah)"
